Name,Website,Address,Price
One90 Gateway,https://www.apartments.com/one90-gateway-plano-tx/ew675lq/,"3201 Wynwood Dr, Plano, TX 75074","$1,579 - 1,925"
The Dayton,https://www.apartments.com/the-dayton-plano-tx/hlf59g1/,"6000 Ohio Dr, Plano, TX 75093","$1,580 - 1,975"
Legacy North,https://www.apartments.com/legacy-north-plano-tx/ny3k87n/,"5765 Bozeman Dr, Plano, TX 75024","$1,330 - 4,843"
Live Grandscape,https://www.apartments.com/live-grandscape-the-colony-tx/ycgfzhs/,"5750 Grandscape Blvd, The Colony, TX 75056","$1,796 - 5,218"
Richmond,https://www.apartments.com/richmond-dallas-tx/ecwz2wn/,"19251 Preston Rd, Dallas, TX 75252","$1,255 - 1,835"
Alleia Watters Creek,https://www.apartments.com/alleia-watters-creek-allen-tx/jezk7b5/,"1165 Montgomery Blvd, Allen, TX 75013","$1,559 - 1,994"
La Ventura Apartments,https://www.apartments.com/la-ventura-apartments-plano-tx/8qfyn52/,"2600 Ventura Dr, Plano, TX 75093","$1,448 - 2,068"
Evoke,https://www.apartments.com/evoke-plano-tx/gvjpdmy/,"1025 Preston Rd, Plano, TX 75093","$1,533 - 2,236"
The Kincaid at Legacy,https://www.apartments.com/the-kincaid-at-legacy-plano-tx/wnedgzl/,"7200 Dallas Pky, Plano, TX 75024","$1,904 - 7,385"
The Hathaway At Willow Bend,https://www.apartments.com/the-hathaway-at-willow-bend-plano-tx/l7tyrbe/,"2525 Preston Rd, Plano, TX 75093","$1,395 - 1,815"
Tribeca,https://www.apartments.com/tribeca-plano-tx/exg8q0n/,"8401 Memorial Ln, Plano, TX 75024","$1,373 - 2,254"
Heritage at Lakeside,https://www.apartments.com/heritage-at-lakeside-plano-tx/5z6s0ep/,"5900 Baywater Dr, Plano, TX 75093","$1,770 - 2,198"
Kia Ora Park Apartments,https://www.apartments.com/kia-ora-park-apartments-plano-tx/mlbb78k/,"9300 Coit Rd, Plano, TX 75025","$1,305 - 1,954"
Brooks on Preston,https://www.apartments.com/brooks-on-preston-plano-tx/6cn7lys/,"7200 Preston Rd, Plano, TX 75024","$1,209 - 2,329"
Estancia At Ridgeview Ranch,https://www.apartments.com/estancia-at-ridgeview-ranch-plano-tx/zk1sebz/,"10200 Independence Pky, Plano, TX 75025","$1,464 - 1,655"
