AmenityName,AmenityID
Dog & Cat Friendly,1
Fitness Center,2
Pool,3
Tub / Shower,4
Controlled Access,5
Elevator,6
Washer & Dryer Hookups,7
Smoke Free,8
In Unit Washer & Dryer,9
Walk-In Closets,10
Stainless Steel Appliances,11
Package Service,12
Tennis,13
Dishwasher,14
Refrigerator,15
Kitchen,16
Concierge,17
EV Charging,18
Clubhouse,19
Balcony,20
Patio,21
Ceiling Fans,22
Maintenance on site,23
Disposal,24
Range,25
Business Center,26
Granite Countertops,27
Hardwood Floors,28
Playground,29
Heat,30
High-Speed Internet,31
Oven,32
Gated,33
Microwave,34
Laundry Facilities,35
Basketball Court,36
Office,37
CableReady,38
