ComplexName,AmenityID,AmenityName
One90 Gateway,1,Dog & Cat Friendly
One90 Gateway,2,Fitness Center
One90 Gateway,3,Pool
One90 Gateway,4,Tub / Shower
One90 Gateway,5,Controlled Access
One90 Gateway,6,Elevator
One90 Gateway,7,Washer & Dryer Hookups
One90 Gateway,8,Smoke Free
The Dayton,1,Dog & Cat Friendly
The Dayton,2,Fitness Center
The Dayton,3,Pool
The Dayton,9,In Unit Washer & Dryer
The Dayton,10,Walk-In Closets
The Dayton,11,Stainless Steel Appliances
The Dayton,12,Package Service
The Dayton,13,Tennis
Legacy North,1,Dog & Cat Friendly
Legacy North,2,Fitness Center
Legacy North,3,Pool
Legacy North,14,Dishwasher
Legacy North,15,Refrigerator
Legacy North,16,Kitchen
Legacy North,9,In Unit Washer & Dryer
Legacy North,10,Walk-In Closets
Live Grandscape,1,Dog & Cat Friendly
Live Grandscape,2,Fitness Center
Live Grandscape,3,Pool
Live Grandscape,9,In Unit Washer & Dryer
Live Grandscape,10,Walk-In Closets
Live Grandscape,17,Concierge
Live Grandscape,18,EV Charging
Richmond,1,Dog & Cat Friendly
Richmond,2,Fitness Center
Richmond,3,Pool
Richmond,14,Dishwasher
Richmond,9,In Unit Washer & Dryer
Richmond,10,Walk-In Closets
Richmond,11,Stainless Steel Appliances
Richmond,13,Tennis
Alleia Watters Creek,1,Dog & Cat Friendly
Alleia Watters Creek,2,Fitness Center
Alleia Watters Creek,3,Pool
Alleia Watters Creek,16,Kitchen
Alleia Watters Creek,9,In Unit Washer & Dryer
Alleia Watters Creek,10,Walk-In Closets
Alleia Watters Creek,19,Clubhouse
Alleia Watters Creek,20,Balcony
Alleia Watters Creek,21,Patio
La Ventura Apartments,1,Dog & Cat Friendly
La Ventura Apartments,2,Fitness Center
La Ventura Apartments,3,Pool
La Ventura Apartments,14,Dishwasher
La Ventura Apartments,15,Refrigerator
La Ventura Apartments,16,Kitchen
La Ventura Apartments,9,In Unit Washer & Dryer
La Ventura Apartments,10,Walk-In Closets
Evoke,1,Dog & Cat Friendly
Evoke,2,Fitness Center
Evoke,3,Pool
Evoke,14,Dishwasher
Evoke,15,Refrigerator
Evoke,16,Kitchen
Evoke,9,In Unit Washer & Dryer
Evoke,20,Balcony
The Kincaid at Legacy,1,Dog & Cat Friendly
The Kincaid at Legacy,2,Fitness Center
The Kincaid at Legacy,3,Pool
The Kincaid at Legacy,9,In Unit Washer & Dryer
The Kincaid at Legacy,10,Walk-In Closets
The Kincaid at Legacy,20,Balcony
The Kincaid at Legacy,11,Stainless Steel Appliances
The Kincaid at Legacy,22,Ceiling Fans
The Kincaid at Legacy,5,Controlled Access
The Hathaway At Willow Bend,1,Dog & Cat Friendly
The Hathaway At Willow Bend,2,Fitness Center
The Hathaway At Willow Bend,3,Pool
The Hathaway At Willow Bend,14,Dishwasher
The Hathaway At Willow Bend,15,Refrigerator
The Hathaway At Willow Bend,9,In Unit Washer & Dryer
The Hathaway At Willow Bend,23,Maintenance on site
The Hathaway At Willow Bend,24,Disposal
Tribeca,1,Dog & Cat Friendly
Tribeca,2,Fitness Center
Tribeca,3,Pool
Tribeca,9,In Unit Washer & Dryer
Tribeca,10,Walk-In Closets
Tribeca,19,Clubhouse
Tribeca,20,Balcony
Tribeca,25,Range
Heritage at Lakeside,1,Dog & Cat Friendly
Heritage at Lakeside,2,Fitness Center
Heritage at Lakeside,3,Pool
Heritage at Lakeside,14,Dishwasher
Heritage at Lakeside,15,Refrigerator
Heritage at Lakeside,16,Kitchen
Heritage at Lakeside,10,Walk-In Closets
Heritage at Lakeside,19,Clubhouse
